h1,h2,h3,lr,reg,init,activation,train_acc,train_loss,val_acc,val_loss,time,weight_path,log_path,test_acc
128,64,32,0.01,0.0,he,relu,58.89777777777778,1.1676541559746936,50.4,1.404818192101723,442.57,weights/best_model_he_relu_128_64_32_lr0.01_reg0.0.pkl,logs/history_he_relu_128_64_32_lr0.01_reg0.0.pkl,43.63
128,64,32,0.01,0.0,he,tanh,58.248888888888885,1.1983562564206147,50.8,1.404510461494226,441.09,weights/best_model_he_tanh_128_64_32_lr0.01_reg0.0.pkl,logs/history_he_tanh_128_64_32_lr0.01_reg0.0.pkl,30.95
128,64,32,0.01,0.0,he,sigmoid,29.39777777777778,1.9305222856666,28.96,1.9433962373050613,464.94,weights/best_model_he_sigmoid_128_64_32_lr0.01_reg0.0.pkl,logs/history_he_sigmoid_128_64_32_lr0.01_reg0.0.pkl,29.439999999999998
128,64,32,0.01,0.0,xavier,relu,59.06888888888889,1.1661840367228289,51.96,1.386095433377043,427.03,weights/best_model_xavier_relu_128_64_32_lr0.01_reg0.0.pkl,logs/history_xavier_relu_128_64_32_lr0.01_reg0.0.pkl,51.7
128,64,32,0.01,0.0,xavier,tanh,56.5488888888889,1.2363041654533165,50.74,1.411411954608323,434.28,weights/best_model_xavier_tanh_128_64_32_lr0.01_reg0.0.pkl,logs/history_xavier_tanh_128_64_32_lr0.01_reg0.0.pkl,51.300000000000004
128,64,32,0.01,0.0,xavier,sigmoid,27.92,1.970797253744484,27.4,1.984072605883068,451.69,weights/best_model_xavier_sigmoid_128_64_32_lr0.01_reg0.0.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.01_reg0.0.pkl,27.939999999999998
128,64,32,0.01,0.0,normal,relu,13.12888888888889,2.301568081561641,15.62,2.301595788889299,446.79,weights/best_model_normal_relu_128_64_32_lr0.01_reg0.0.pkl,logs/history_normal_relu_128_64_32_lr0.01_reg0.0.pkl,16.49
128,64,32,0.01,0.0,normal,tanh,18.82,2.0591820383643604,18.56,2.0720655306441094,424.0,weights/best_model_normal_tanh_128_64_32_lr0.01_reg0.0.pkl,logs/history_normal_tanh_128_64_32_lr0.01_reg0.0.pkl,18.37
128,64,32,0.01,0.0,normal,sigmoid,10.0,2.302585068627215,10.0,2.3025850655865585,426.25,weights/best_model_normal_sigmoid_128_64_32_lr0.01_reg0.0.pkl,logs/history_normal_sigmoid_128_64_32_lr0.01_reg0.0.pkl,10.0
128,64,32,0.01,0.0001,he,relu,59.06222222222223,1.1924311975570416,51.5,1.423964350361293,465.09,weights/best_model_he_relu_128_64_32_lr0.01_reg0.0001.pkl,logs/history_he_relu_128_64_32_lr0.01_reg0.0001.pkl,52.080000000000005
128,64,32,0.01,0.0001,he,tanh,57.74444444444444,1.2354388556374318,50.03999999999999,1.4294534136309769,438.76,weights/best_model_he_tanh_128_64_32_lr0.01_reg0.0001.pkl,logs/history_he_tanh_128_64_32_lr0.01_reg0.0001.pkl,51.04
128,64,32,0.01,0.0001,he,sigmoid,29.726666666666667,1.9572182801655733,29.020000000000003,1.9706214297854272,437.24,weights/best_model_he_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,logs/history_he_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,29.470000000000002
128,64,32,0.01,0.0001,xavier,relu,57.64666666666667,1.227784565900601,51.580000000000005,1.427002492449831,420.53,weights/best_model_xavier_relu_128_64_32_lr0.01_reg0.0001.pkl,logs/history_xavier_relu_128_64_32_lr0.01_reg0.0001.pkl,52.25
128,64,32,0.01,0.0001,xavier,tanh,56.68222222222222,1.2514896325683529,51.080000000000005,1.4259438229892962,451.09,weights/best_model_xavier_tanh_128_64_32_lr0.01_reg0.0001.pkl,logs/history_xavier_tanh_128_64_32_lr0.01_reg0.0001.pkl,51.129999999999995
128,64,32,0.01,0.0001,xavier,sigmoid,24.69111111111112,2.034491037416524,25.24,2.0459686142433635,454.43,weights/best_model_xavier_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,25.69
128,64,32,0.01,0.0001,normal,relu,18.11555555555556,2.3043966145754244,18.1,2.304401001685931,458.01,weights/best_model_normal_relu_128_64_32_lr0.01_reg0.0001.pkl,logs/history_normal_relu_128_64_32_lr0.01_reg0.0001.pkl,18.5
128,64,32,0.01,0.0001,normal,tanh,19.04888888888889,2.0339071165013705,18.98,2.044863796849954,444.04,weights/best_model_normal_tanh_128_64_32_lr0.01_reg0.0001.pkl,logs/history_normal_tanh_128_64_32_lr0.01_reg0.0001.pkl,19.0
128,64,32,0.01,0.0001,normal,sigmoid,10.0,2.3045515544320065,10.02,2.304551560956594,458.46,weights/best_model_normal_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,logs/history_normal_sigmoid_128_64_32_lr0.01_reg0.0001.pkl,10.0
128,64,32,0.01,0.001,he,relu,57.48444444444445,1.4093913355746368,50.7,1.6109641795934284,442.68,weights/best_model_he_relu_128_64_32_lr0.01_reg0.001.pkl,logs/history_he_relu_128_64_32_lr0.01_reg0.001.pkl,51.15
128,64,32,0.01,0.001,he,tanh,57.06,1.443639839324118,50.63999999999999,1.6133012623194478,437.21,weights/best_model_he_tanh_128_64_32_lr0.01_reg0.001.pkl,logs/history_he_tanh_128_64_32_lr0.01_reg0.001.pkl,51.22
128,64,32,0.01,0.001,he,sigmoid,27.07777777777778,2.1754682421626232,26.5,2.1893865733938727,440.18,weights/best_model_he_sigmoid_128_64_32_lr0.01_reg0.001.pkl,logs/history_he_sigmoid_128_64_32_lr0.01_reg0.001.pkl,26.1
128,64,32,0.01,0.001,xavier,relu,57.644444444444446,1.380042780913367,51.62,1.5668793440415834,440.53,weights/best_model_xavier_relu_128_64_32_lr0.01_reg0.001.pkl,logs/history_xavier_relu_128_64_32_lr0.01_reg0.001.pkl,52.16
128,64,32,0.01,0.001,xavier,tanh,56.19777777777778,1.433919612505494,50.52,1.5974985722554371,454.79,weights/best_model_xavier_tanh_128_64_32_lr0.01_reg0.001.pkl,logs/history_xavier_tanh_128_64_32_lr0.01_reg0.001.pkl,51.12
128,64,32,0.01,0.001,xavier,sigmoid,25.07333333333333,2.199161214922224,24.5,2.211728402849701,459.75,weights/best_model_xavier_sigmoid_128_64_32_lr0.01_reg0.001.pkl,logs/history_xavier_sigmoid_128_64_32_lr0.01_reg0.001.pkl,25.509999999999998
128,64,32,0.01,0.001,normal,relu,10.05111111111111,2.3178726206417246,13.02,2.317874052134531,437.01,weights/best_model_normal_relu_128_64_32_lr0.01_reg0.001.pkl,logs/history_normal_relu_128_64_32_lr0.01_reg0.001.pkl,12.85
128,64,32,0.01,0.001,normal,tanh,18.13777777777777,2.089877713816168,17.9,2.101399531599073,465.26,weights/best_model_normal_tanh_128_64_32_lr0.01_reg0.001.pkl,logs/history_normal_tanh_128_64_32_lr0.01_reg0.001.pkl,18.02
